Chapel Names,City,States/Countries,Latitude,Longitude,Links
Servants of the Holy Spirit of the Perpetual Adoration ,Nitra,Slovakia,48.329524,18.08412793,https://stream.csweb.sk/sspsap/sspsap.stream/playlist.m3u8
Heroldsbach Place of Prayer,Heroldsbach,Germany,49.68931569,10.99716787,https://hc2.webstream.eu/channel/krypta/embed?autostart
St. Anne Piarist Church,Vac,Hungary,47.785977,19.126137,https://v.angelcam.com/iframe?v=9klzv7zey4&amp;token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJkb21haW4iOiJvcm9raW1hZGFzLXZhYy5jbGljazJzdHJlYW0uY29tIiwiY2FtZXJhX2lkIjoxMDI4MDAsImV4cCI6MTc3MzM3ODM4MX0.TNFH-4kuBB-dPfV7uGst-gOSnMTINcUs7wH7n4pNv44
Emmaus Retreat Centre Kolkata,Kolkata,India,22.53952109,88.35560882,https://www.youtube.com/watch?v=_756wwI7cSQ
St John the Baptist Church,Beloit,"KS, USA",39.45862009,-98.1021792,https://www.youtube.com/watch?v=MmWU3eGdDAQ
Shalom Catholic Community - Manger of Peace Chapel,Fortaleza/CE,Brazil,-3.734014469,-38.50140179,https://www.youtube.com/watch?v=Tf6EQEn00RM
Goodness TV - Eucharistic Adoration,Kerala,India,10.32004386,76.32107147,https://www.youtube.com/watch?v=JfBoxzdQFLk
Mission Ruah Foundation,Miami,"FL, USA",25.81131886,-80.33058845,https://www.youtube.com/watch?v=lf2qtzbO9vE
Shrine of St Martin of Tours,Louisville,"KY, USA",38.24569752,-85.73924014,http://74.142.49.38:8000/mjpg/video.mjpg?camera=1
The Shrine of Divine Mercy,Vilnius,Lithuania,54.6815176,25.28550991,https://www.youtube.com/watch?v=Upqned9fiMg
St Laurence O'Toole Church,Brewster,"NY, USA",41.39809819,-73.61724132,https://www.youtube.com/watch?v=B8wNT7sk2yo
Shrine of St Maximilian Kolbe,Libertyville,"IL, USA",42.27914732,-87.98029466,https://www.youtube.com/watch?v=upG46U5B6IA
Santo Domingo Savio,Parana,Argentina,-31.76284617,-60.52035873,https://www.youtube.com/watch?v=hQYTlh71Vwo
Our Lady of Lourdes,Miami,"FL, USA",25.66289209,-80.42336806,https://www.ololourdes.org/CatholicChurch.php?pg=Perpetual+Adoration
St Francis of Assisi,Aberdeen,UK,57.12521022,-2.142608787,https://www.youtube.com/watch?v=cMe4bspPx9k
St John the Evangelist,Greenfield,"WI, USA",42.96732973,-88.01937013,https://www.youtube.com/watch?v=uNyvr0FKGRo
House of Divine Mercy,Koszalin,Poland,54.19698318,16.18808181,https://www.youtube.com/watch?v=QiHEdKiNoxg&t=204s
Maria Vision - Capilla Cristo Rey De La Paz,Jalisco,Mexico,20.67417873,-103.2620868,https://www.youtube.com/watch?v=IZLkBCepu94
Bazylika Debowiec Matki Boej z La Salette,Debowiec ,Poland,49.68414606,21.46646813,https://www.youtube.com/watch?v=TfU4piSF7FY
Jesus Wonder Animations Ministry,Vienna,Austria,48.20203444,16.40160325,https://www.youtube.com/watch?v=4zrOUI9hhqk
Basilica Of Bom Jesus Goa,Goa,India,15.50107191,73.91136318,https://www.youtube.com/watch?v=ddxvNThb3Oc
St Clemens Church,Berlin,Germany,52.5033135,13.38543857,https://www.youtube.com/watch?v=eo0WcXWCIh4
EWTN Polska,Wroclaw,Poland,51.14673898,16.86703727,https://www.youtube.com/watch?v=2KDnEUtqnyg
Our Lady of Guadalupe,Doral,"FL, USA",25.79804468,-80.38456635,https://www.youtube.com/watch?v=dZEUtQdxglk
Santuary of Divine Mercy ,Krakow,Poland,50.02157185,19.93678637,https://www.youtube.com/watch?v=e9p21FoxPro
Santa Teresa de l'Infant Jesus,Barcelona,Spain,41.40072956,2.15178361,https://www.youtube.com/watch?v=WOxeQOMXtLo
Our Lady of Sorrows Catholic Parish,Homewood,"AL, USA",33.47634718,-86.79528316,https://www.youtube.com/watch?v=am72_e-h9d8
Sagrada Familia Basilica Sanctuary,Goiás ,Brazil,-16.68940647,-49.31236492,https://www.youtube.com/watch?v=ehxExATLuIc
St Katherine Drexel,Weston,"FL, USA",26.09051975,-80.41143363,https://www.youtube.com/watch?v=2ilKyO-bct0
Immaculate Conception Parish,Buenos Aires,Argentina,-34.4560889,-58.62628358,https://www.youtube.com/watch?v=6f0GAwjim9I
Adoración al Santísimo Sacramento,Barcelona,Spain,41.72453654,1.822227683,https://www.youtube.com/watch?v=lf2qtzbO9vE
Monastery of the Poor Clares,S?upsk,Poland,54.46564258,17.03836181,https://www.youtube.com/watch?v=-M-KLoxV9KQ
Our Lady Mother of the Church. ,Sao Paulo,Brazil,-22.90153673,-47.06006833,https://www.youtube.com/watch?v=3RewM119D98
